N,P,T,X_ZN,component,internal_dof,vertex,NP,GM,MU,X,Y,Phase,NP(FCC_A1),NP(HCP_A3),NP(LIQUID)
1.0,101325.0,550.0,0.4,ZN,0,1,0.3076859917164196,-20964.828069132782,-25179.155891949602,0.9840587381730511,0.015941261826948907,HCP_A3,,,
1.0,101325.0,550.0,0.4,ZN,0,2,,-20964.828069132782,-25179.155891949602,,,,,,
1.0,101325.0,550.0,0.4,ZN,1,0,0.6923140082835805,-20964.828069132782,-25179.155891949602,0.14042603511526852,0.14042603511526852,FCC_A1,,,
1.0,101325.0,550.0,0.4,ZN,1,1,0.3076859917164196,-20964.828069132782,-25179.155891949602,0.9840587381730511,0.9840587381730511,HCP_A3,,,
1.0,101325.0,550.0,0.4,ZN,1,2,,-20964.828069132782,-25179.155891949602,,,,,,
1.0,101325.0,560.0,0.4,AL,0,0,0.5853324260320002,-21515.00087090867,-18630.1937351554,0.42488779639831775,0.42488779639831775,FCC_A1,,,
1.0,101325.0,560.0,0.4,AL,0,1,0.4146675739679998,-21515.00087090867,-18630.1937351554,0.8471831833415456,0.8471831833415454,FCC_A1,,,
1.0,101325.0,560.0,0.4,AL,0,2,,-21515.00087090867,-18630.1937351554,,,,,,
1.0,101325.0,560.0,0.4,AL,1,0,0.5853324260320002,-21515.00087090867,-18630.1937351554,0.42488779639831775,0.5751122036016822,FCC_A1,,,
1.0,101325.0,560.0,0.4,AL,1,1,0.4146675739679998,-21515.00087090867,-18630.1937351554,0.8471831833415456,0.1528168166584545,FCC_A1,,,
1.0,101325.0,560.0,0.4,AL,1,2,,-21515.00087090867,-18630.1937351554,,,,,,
1.0,101325.0,560.0,0.4,ZN,0,0,0.5853324260320002,-21515.00087090867,-25842.21157644532,0.5751122036016822,0.42488779639831775,FCC_A1,,,
1.0,101325.0,560.0,0.4,ZN,0,1,0.4146675739679998,-21515.00087090867,-25842.21157644532,0.15281681665845454,0.8471831833415454,FCC_A1,,,
1.0,101325.0,560.0,0.4,ZN,0,2,,-21515.00087090867,-25842.21157644532,,,,,,
1.0,101325.0,560.0,0.4,ZN,1,0,0.5853324260320002,-21515.00087090867,-25842.21157644532,0.5751122036016822,0.5751122036016822,FCC_A1,,,
1.0,101325.0,560.0,0.4,ZN,1,1,0.4146675739679998,-21515.00087090867,-25842.21157644532,0.15281681665845454,0.1528168166584545,FCC_A1,,,
1.0,101325.0,560.0,0.4,ZN,1,2,,-21515.00087090867,-25842.21157644532,,,,,,
1.0,101325.0,570.0,0.4,AL,0,0,0.5971105323939296,-22072.49333377474,-19110.938167596512,0.44229394847096387,0.44229394847096387,FCC_A1,,,
1.0,101325.0,570.0,0.4,AL,0,1,0.4028894676060704,-22072.49333377474,-19110.938167596512,0.8337314622536572,0.8337314622536572,FCC_A1,,,
1.0,101325.0,570.0,0.4,AL,0,2,,-22072.49333377474,-19110.938167596512,,,,,,
1.0,101325.0,570.0,0.4,AL,1,0,0.5971105323939296,-22072.49333377474,-19110.938167596512,0.44229394847096387,0.5577060515290361,FCC_A1,,,
1.0,101325.0,570.0,0.4,AL,1,1,0.4028894676060704,-22072.49333377474,-19110.938167596512,0.8337314622536572,0.1662685377463427,FCC_A1,,,
1.0,101325.0,570.0,0.4,AL,1,2,,-22072.49333377474,-19110.938167596512,,,,,,
